,0,1,2,3,4,5,6,7,8,9,10,11
0,"['08:40', '09:50', '13:20', '15:40', '18:00']","['08:40', '09:50', '13:20', '15:40', '18:00']","['09:50', '13:20', '15:40', '18:00']","['08:40', '09:50', '11:00', '13:20', '15:40', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']","['11:00', '13:20', '15:40', '18:00']","['09:50', '13:20', '15:40', '18:00']","['09:50', '13:20', '15:40', '18:00']",,
1,['12:10'],"['09:50', '12:10', '13:20', '14:30', '15:40', '16:50', '18:00', '19:10']","['11:00', '18:00']","['09:50', '18:00']","['09:50', '11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['08:40', '09:50', '11:00', '12:10', '13:20', '14:30', '15:40', '16:50', '18:00', '19:10', '20:20']","['12:10', '15:40']","['09:50', '11:00', '12:10', '13:20', '14:30', '15:40', '16:50', '18:00']","['08:40', '09:50', '13:20', '14:30', '15:40', '18:00']","['14:30', '15:40']",['11:00'],"['09:50', '18:00']"
2,"['11:00', '18:00']",['14:30'],['11:00'],"['11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']",,,,,,
3,['14:30'],"['08:40', '09:50', '13:20', '15:40', '18:00']","['09:50', '13:20', '15:40', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']",,,,,,
4,"['13:20', '15:40', '18:00']","['09:50', '14:30']","['09:50', '13:20', '15:40', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']",,,,,,
5,"['11:00', '14:30', '15:40', '18:00']","['09:50', '13:20', '15:40']",['15:40'],"['11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']",,,,,,
6,"['09:50', '13:20']","['12:10', '14:30']","['09:50', '11:00', '14:30', '15:40', '16:50']","['09:50', '13:20']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']",,,,,,
7,"['09:50', '13:20', '14:30', '15:40']","['08:40', '09:50', '13:20', '15:40', '18:00']","['09:50', '13:20', '15:40', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50', '18:00']","['11:00', '13:20', '14:30', '15:40', '16:50']","['11:00', '13:20', '15:40', '18:00']",,,,,,
